Año,Mes,Bodega,Unidad,Linea,Grupo,Subgrupo3,Cod_solo,Codigo,Serie_lote,vencimiento_lote,Descripción,Unidad_Medida_corep,Stock,Stock Pedido,Stock Real,Costo_promedio,Costo Total,Precio Venta,costo ultimo,Fecha Ingreso Lote,stock minimo,stock maximo,alterno,ubicacion,ubicacion2,ubicacion3,fecha_creacion,Dias_inventario,ultima_venta,ultima_compra,Proveedor,und,und_cant1,dias_reposicion,no_pedir,promocion,calificacion_abc,desc_color,porcentaje_iva,Controlado,Notas,und2,und_cant2,und3,und_cant3,und4,und_cant4,Motivo_UIO,Motivo_GYE
2026,2,2025 - TALLER INOPERATIVO GYE,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (19093004C51ZH),19093004C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,2884.0201,2884.02,0.0100,2700.0000,2019-05-10 00:00:00,,,,,,,2021-07-22,2472,,2019-05-13 00:00:00,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (21277001C51ZH),21277001C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,3090.2800,3090.28,0.0100,2700.0000,2021-12-13 12:38:39.360000,,,,,,,2021-07-22,1525,,2021-12-15 08:30:25,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (21277002C51ZH),21277002C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,3090.2800,3090.28,0.0100,2700.0000,2021-12-13 12:38:39.360000,,,,,,,2021-07-22,1525,,2021-12-15 08:30:25,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (21277003C51ZH),21277003C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,3090.2800,3090.28,0.0100,2700.0000,2021-12-13 12:38:39.373000,,,,,,,2021-07-22,1525,,2021-12-15 08:30:25,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,1031 - BODEGA EQUIPOS USADOS  OPERATIVOS UIO,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (21277004C51ZH),21277004C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,3090.2800,3090.28,0.0100,2700.0000,2021-12-13 12:38:39.373000,,,,,,,2021-07-22,1525,,2021-12-15 08:30:25,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,1030 - BODEGA DISPONIBLE PARA LA VENTA UIO,CODIFICACION,VIDEOJET,MÁQUINAS,,383430,383430 (21277005C51ZH),21277005C51ZH,,"VJ1040, 2M STRAIGHT UMBILICAL, IP43, 60 MICRON, 2 LINE - W/O P/H STAND",Unidad,1.0000,0.0000,1.0000,3090.2400,3090.24,0.0100,2700.0000,2021-12-13 12:38:39.373000,,,,,,,2021-07-22,1525,,2021-12-15 08:30:25,,Und,1,,,,,,15.00,NO,Creado automaticamente,,0E-16,,0E-16,,0E-16,,
2026,2,2025 - TALLER INOPERATIVO GYE,CODIFICACION,VIDEOJET,MÁQUINAS,6230,407805,407805 (2233414002TZH),2233414002TZH,10/03/2023,VJ6230 PRINTER - LH,Unidad,1.0000,0.0000,1.0000,2563.8000,2563.80,0.0100,2347.0600,2023-03-10 17:47:32.840000,,,,,,,2021-07-22,1071,,2023-03-14 06:41:38,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,MÁQUINAS,6230,407805,407805 (2430514001TZH),2430514001TZH,,VJ6230 PRINTER - LH,Unidad,1.0000,0.0000,1.0000,2631.1600,2631.16,0.0100,2347.0600,2024-12-01 09:02:31.050000,1.0000,2.0000,,,,,2021-07-22,441,,2024-12-03 07:11:26,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,2030 - BODEGA DISPONIBLE PARA LA VENTA GYE,CODIFICACION,VIDEOJET,MÁQUINAS,6230,407805,407805 (2515014019TZH),2515014019TZH,,VJ6230 PRINTER - LH,Unidad,1.0000,0.0000,1.0000,2565.9200,2565.92,0.0100,2347.0600,2025-08-05 14:44:57.050000,1.0000,2.0000,,,,,2021-07-22,193,,2025-08-08 08:01:31,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8002 - REMISIONES QUITO,CODIFICACION,VIDEOJET,MÁQUINAS,6230,407805,407805 (2515014020TZH),2515014020TZH,,VJ6230 PRINTER - LH,Unidad,1.0000,0.0000,1.0000,2565.9200,2565.92,0.0100,2347.0600,2025-08-05 14:44:57.050000,,,,,,,2021-07-22,193,,2025-08-08 08:01:31,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
2026,2,8003 - REMISIONES GUAYAQUIL,CODIFICACION,VIDEOJET,MÁQUINAS,6230,407805,407805 (2515014022TZH),2515014022TZH,,VJ6230 PRINTER - LH,Unidad,1.0000,0.0000,1.0000,2565.9200,2565.92,0.0100,2347.0600,2025-08-05 14:44:57.067000,,,,,,,2021-07-22,193,,2025-08-08 08:01:31,VIDEOJET TECHNOLOGIES INT.,Und,1,,,,,COMPRA EXTERIOR,15.00,NO,,,0E-16,,0E-16,,0E-16,,
